,PSA,Length,Onset,OnsetTR,OffsetTR
0,Count,3.10737514496,5.10702204704,2.0,5.0
1,01_The Real Cost Commercial-Your Skin-.mov,31.2408750057,37.240696907,6.0,37.0
2,Imagine,11.0,58.0338418484,47.0,
3,Count,3.58798789978,65.5885579586,62.0,66.0
4,04_The Real Cost Commercial-Stay In Control-.mov,31.7046070099,97.705452919,66.0,98.0
5,Imagine,11.0,119.03106904,108.0,
6,Count,3.11863183975,126.119700909,123.0,126.0
7,06_The Real Cost Commercial-#7000chemicals-.mov,31.2362270355,158.236456871,127.0,158.0
8,Imagine,11.0,179.028728962,168.0,
9,Count,3.6336710453,186.634181023,183.0,187.0
10,12_The Real Cost Commercial-Found It-.mov,31.7503080368,218.750951052,187.0,219.0
11,Imagine,11.0,240.028403044,229.0,
12,Count,3.11435890198,247.115282059,244.0,247.0
13,11_The Real Cost Commercial-Science Class-.mov,31.2476360798,279.248843908,248.0,279.0
14,Imagine,11.0,300.025509834,289.0,
15,Count,3.66180801392,307.663156986,304.0,308.0
16,08_The Real Cost Commercial-Band_30_2015_04_10_TESFA-.mov,31.7616701126,339.763210058,308.0,340.0
17,Imagine,11.0,361.03599596,350.0,
18,Count,3.15900492668,368.160794973,365.0,368.0
19,09_The Real Cost Commercial-#ReasonsNotToSmoke-.mov,31.275758028,400.277763844,369.0,400.0
20,Imagine,11.0,421.019629955,410.0,
21,Count,3.65645217896,428.658596039,425.0,429.0
22,03_The Real Cost Commercial-Alison-.mov,31.7730731964,460.775470972,429.0,461.0
23,Imagine,11.0,482.03113389,471.0,
24,Count,3.1537399292,489.15634799,486.0,489.0
25,02_The Real Cost Commercial-Your Teeth-.mov,31.2370710373,521.239830971,490.0,521.0
26,Imagine,11.0,542.029861927,531.0,
27,Count,3.66771292686,549.670764923,546.0,550.0
28,07_The Real Cost Commercial-Dance30_2015_04_10_TESFA-.mov,31.7522039413,581.754322052,550.0,582.0
29,Imagine,11.0,603.031936884,592.0,
30,Count,3.13264894485,610.135123968,607.0,610.0
31,10_The Real Cost Commercial-Any Reason-.mov,31.2493298054,642.251978874,611.0,642.0
32,Imagine,11.0,663.026248932,652.0,
33,Count,3.66356897354,670.666255951,667.0,671.0
34,05_The Real Cost Commercial-Bully-.mov,31.7800400257,702.78302002,671.0,703.0
35,Imagine,11.0,724.042392015,713.0,
